Before February 2025 | NRW route reopened after a round-one failure | Context & co-creation
Early 2025, and throughout | Literature review underpinned the unfolding project | Research & evidence
Early 2025 | Early co-creation shaped the research | Context & co-creation
7 February 2025 | First workshop with NRW at Welsh Government | Context & co-creation
At the early workshop | Chance cafe encounter with Ceri Davies | Influence & reflections
Spring to summer 2025 | Abstract submission and conceptual framing development | Analysis & framing
June 2025 | Formal Sprint period begins | Context & co-creation
From June 2025 | Fieldwork 1 | Research & evidence
Across early fieldwork | Iterative findings cycle | Analysis & framing
Mid to late 2025 | Fieldwork 2 | Research & evidence
September to December 2025 | Early evidence fed into SoNaRR 'Bridges to the Future' | Policy liaison
Autumn 2025 | Second analysis and the 'coping to hoping' reframing | Analysis & framing
Late 2025 | Conceptual framing fit, but didn't quite do enough | Analysis & framing
December 2025 to January 2026 | Fieldwork 3 | Research & evidence
January 2026 | Survey launched | Research & evidence
January to February 2026 | Conversations about place-based, focussed and catchment approaches | Analysis & framing
February 2026 | First draft of policy brief | Outputs & sharing
February 2026, at IPBES-12 | Policy brief drafted at IPBES-12 in Manchester | Outputs & sharing
February to March 2026 | Final analysis | Analysis & framing
Early 2026 | Scottish Government engagement opened | Policy liaison
February to April 2026 | Report refined through feedback | Outputs & sharing
Early 2026 | 'Hopeful' narrative helped findings travel | Influence & reflections
Through the liaison phase | Policy liaison through existing networks | Policy liaison
During policy liaison | Capacity constraint: NRW lacked resources | Influence & reflections
March to May 2026 | Paper 1: drafting and redrafting | Outputs & sharing
Spring 2026 | NRW became intellectual collaborators | Influence & reflections
Around 23 April 2026 | Meeting with Prys Davies | Policy liaison
April to May 2026 | NRP Executive Team meetings | Policy liaison
April to May 2026 | Knowledge sharing with Scottish Government | Policy liaison
April to June 2026 | Survey findings, synthesis and slides fed policy use | Analysis & framing
Across the final phase | Translating, drafting, redrafting: the core influence practice | Influence & reflections
22 April 2026 | Valleys workshop filming | Outputs & sharing
23 April 2026 | WG NRP Forum: Sprint team presented | Policy liaison
Election period | Area Statements included in GP manifesto | Influence & reflections
After the election | Place-based working became more salient | Influence & reflections
May to June 2026 | Live evidence base translated for short-term requests | Outputs & sharing
Late May 2026 | Short-term request: Exec Group policy briefing | Policy liaison
6 May 2026 | 'Impact Party' | Outputs & sharing
7 May 2026 | Senedd elections | Context & co-creation
May to June 2026 | Scottish slides formed an options evidence base | Outputs & sharing
June 2026 | Presented at RSA | Outputs & sharing
5 June 2026 | Area Statements 2.0 workshop | Policy liaison
8 June 2026 | Final report and brief shared for feedback | Outputs & sharing
July 2026 | Presented at POLLEN | Outputs & sharing
July 2026 | Filming: Lake Vyrnwy and Radnorshire | Outputs & sharing
Reflection: pivot points | Pivot point: evidence earned a role in NRP decisions | Influence & reflections
9 July 2026 | Report complete | Outputs & sharing
